Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,FR,XX,34,,ivory carvings,,T,U
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,FR,XX,,2,ivory pieces,,T,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,GB,XX,3,,ivory carvings,,P,I
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,GB,XX,32,,ivory carvings,,P,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,GB,XX,52,189,ivory carvings,,P,U
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,GB,XX,5,1,ivory carvings,,T,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,GB,XX,2,1830,ivory carvings,,T,U
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,HK,XX,2,,ivory carvings,,T,I
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,IL,XX,,4,ivory carvings,,P,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,IM,XX,,3,ivory pieces,g,T,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,IT,XX,1,,ivory carvings,,E,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,IT,XX,1,,ivory carvings,,P,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,IT,XX,2,,ivory carvings,,P,W
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,IT,XX,,2,ivory pieces,,T,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,JP,XX,,23,ivory carvings,pairs,Q,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,JP,XX,1,,ivory carvings,sets,P,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,JP,XX,,1,ivory carvings,sets,T,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,JP,XX,,1,ivory carvings,,P,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,JP,XX,7,9,ivory carvings,,Q,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,LB,XX,3,,ivory carvings,,P,I
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,LV,XX,,1,ivory carvings,sets,,
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,NL,XX,,4.88,ivory carvings,kg,T,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,NL,XX,1,,ivory carvings,,P,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,NL,XX,2,10,ivory carvings,,T,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,NO,XX,1,1,ivory carvings,sets,P,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,PH,XX,2,,ivory carvings,,P,I
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,PH,XX,3,,ivory carvings,,T,W
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,PL,XX,1,,ivory carvings,sets,P,W
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,SE,XX,,1,ivory carvings,,E,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,TH,XX,17,,ivory carvings,,P,I
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,UY,XX,1,,ivory carvings,,P,I
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,VN,XX,1,,ivory carvings,,P,I
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,VA,SG,XX,,6,ivory carvings,,Q,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,ZA,CH,XX,,1,ivory carvings,,,O
2005,I,Elephas maximus,Mammalia,Proboscidea,Elephantidae,Elephas,AE,DE,XX,,1,ivory carvings,,T,O
2005,I,Elephas maximus,Mammalia,Proboscidea,Elephantidae,Elephas,AR,GB,XX,,18,ivory carvings,,T,O
2005,I,Elephas maximus,Mammalia,Proboscidea,Elephantidae,Elephas,AU,GB,XX,,32,ivory carvings,,P,O
2005,I,Elephas maximus,Mammalia,Proboscidea,Elephantidae,Elephas,AU,GB,XX,,33,ivory carvings,,T,U
