,Country,2005_import_counts,2006_import_counts,2007_import_counts,2008_import_counts,2009_import_counts,2010_import_counts,2011_import_counts,2012_import_counts,2013_import_counts,2014_import_counts,2015_import_counts,2005_export_counts,2006_export_counts,2007_export_counts,2008_export_counts,2009_export_counts,2010_export_counts,2011_export_counts,2012_export_counts,2013_export_counts,2014_export_counts,2015_export_counts
140,TN,0,0,0,1,0,0,0,0,0,0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
141,LT,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,LU,0,0,0,1,1,1,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
143,TJ,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
144,LS,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,TH,2,1,1,1,1,1,4,4,3,6,0,3.0,7.0,2.0,4.0,5.0,2.0,3.0,3.0,3.0,4.0,1.0
146,TG,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0
147,TC,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
148,LY,0,0,2,0,2,1,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
149,VA,1,1,0,0,0,1,0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
150,AE,2,5,9,14,9,7,3,5,3,8,8,2.0,2.0,7.0,8.0,9.0,3.0,10.0,9.0,3.0,14.0,7.0
151,AD,0,3,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,AF,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,IQ,0,0,0,0,0,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,IS,1,1,4,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
155,IR,0,1,0,0,1,4,2,2,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
156,AM,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
157,IT,8,14,12,12,5,13,11,18,18,9,12,18.0,17.0,10.0,12.0,11.0,10.0,15.0,15.0,22.0,35.0,21.0
158,VN,0,0,0,1,0,0,1,1,2,4,2,1.0,2.0,0.0,3.0,1.0,3.0,5.0,4.0,5.0,4.0,6.0
159,AN,0,1,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
160,AR,1,3,3,2,0,0,0,0,0,1,0,15.0,17.0,3.0,16.0,13.0,11.0,5.0,5.0,6.0,1.0,2.0
161,AU,26,23,31,29,44,22,24,12,16,29,23,25.0,19.0,33.0,40.0,22.0,30.0,19.0,47.0,14.0,9.0,11.0
162,AT,6,9,9,13,5,8,4,11,6,5,10,15.0,11.0,16.0,12.0,9.0,27.0,20.0,14.0,17.0,19.0,21.0
163,IN,2,0,1,2,1,2,1,1,2,0,0,2.0,3.0,1.0,0.0,3.0,1.0,1.0,0.0,2.0,1.0,1.0
164,TZ,0,0,0,0,0,1,1,1,0,0,0,3.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0
165,IE,1,0,0,5,0,0,0,0,0,1,3,0.0,0.0,1.0,0.0,1.0,3.0,3.0,2.0,2.0,1.0,4.0
166,ID,1,1,4,2,2,4,3,3,2,0,1,2.0,1.0,6.0,3.0,6.0,4.0,5.0,4.0,2.0,1.0,5.0
167,MY,1,0,0,3,0,1,0,2,0,2,1,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
168,CY,1,0,0,0,1,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
169,QA,4,1,6,8,6,1,0,6,3,6,9,0.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,4.0,0.0
170,BD,0,0,0,0,0,0,0,0,0,3,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,MZ,0,0,0,0,0,1,0,1,0,0,0,4.0,0.0,2.0,5.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0
