"","unique.base.edge.","source","target","f2005","f2006","f2007","f2008","f2009","f2010","f2011","f2012","f2013","f2014","f2015","w2005","w2006","w2007","w2008","w2009","w2010","w2011","w2012","w2013","w2014","w2015","f_tot"
"5209","GR-NO","GR","NO",0,0,0,0,0,2,2,0,0,2,2,0,0,0,0,0,1.22786014672929e-05,1.22462725407954e-05,0,0,1.22027114424825e-05,1.53501366162159e-05,8
"5210","GL-HK","GL","HK",0,0,0,0,0,4,0,0,2,2,0,0,0,0,0,0,2.45572029345858e-05,0,0,1.14688763368409e-05,1.22027114424825e-05,0,8
"5211","GL-PT","GL","PT",0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,5.52537066028179e-05,0,0,0,0,0,9
"5212","GY-AN","GY","AN",0,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,2.45572029345858e-05,6.1231362703977e-05,0,0,0,0,14
"5213","GR-SG","GR","SG",0,0,0,0,0,2,0,4,2,0,0,0,0,0,0,0,1.22786014672929e-05,0,2.13751716693475e-05,1.14688763368409e-05,0,0,8
"5214","GD-PL","GD","PL",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3.68358044018786e-05,0,0,0,0,0,6
"5215","GR-RS","GR","RS",0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,2.44925450815908e-05,0,0,0,1.53501366162159e-05,6
"5216","GY-UZ","GY","UZ",0,0,0,0,0,0,4,8,28,8,0,0,0,0,0,0,0,2.44925450815908e-05,4.27503433386949e-05,0.000160564268715773,4.88108457699301e-05,0,48
"5217","GW-VN","GW","VN",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1.22462725407954e-05,0,0,0,0,2
"5218","GY-SR","GY","SR",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1.22462725407954e-05,0,0,0,0,2
"5219","GN-MZ","GN","MZ",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1.22462725407954e-05,0,0,0,0,2
"5220","GR-SA","GR","SA",0,0,0,0,0,0,0,2,0,2,4,0,0,0,0,0,0,0,1.06875858346737e-05,0,1.22027114424825e-05,3.07002732324318e-05,8
"5221","GY-IE","GY","IE",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1.06875858346737e-05,0,0,0,2
"5222","GL-SG","GL","SG",0,0,0,0,0,0,0,6,2,2,4,0,0,0,0,0,0,0,3.20627575040212e-05,1.14688763368409e-05,1.22027114424825e-05,3.07002732324318e-05,14
"5223","GY-JM","GY","JM",0,0,0,0,0,0,0,16,20,0,0,0,0,0,0,0,0,0,8.55006866773899e-05,0.000114688763368409,0,0,36
"5224","GY-QA","GY","QA",0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,2.67189645866843e-05,3.44066290105227e-05,0,0,11
"5225","GW-US","GW","US",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1.06875858346737e-05,0,0,0,2
"5226","GL-AE","GL","AE",0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,1.06875858346737e-05,1.14688763368409e-05,0,1.53501366162159e-05,6
"5227","GL-WF","GL","WF",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1.06875858346737e-05,0,0,0,2
"5228","GR-IL","GR","IL",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1.14688763368409e-05,0,0,2
"5229","GR-MY","GR","MY",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2.29377526736818e-05,0,0,4
"5230","GY-MZ","GY","MZ",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1.14688763368409e-05,0,0,2
"5231","GL-ID","GL","ID",0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,2.29377526736818e-05,1.22027114424825e-05,1.53501366162159e-05,8
"5232","GR-IS","GR","IS",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1.14688763368409e-05,0,0,2
"5233","GT-HT","GT","HT",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2.29377526736818e-05,0,0,4
"5234","GY-OM","GY","OM",0,0,0,0,0,0,0,0,12,18,18,0,0,0,0,0,0,0,0,6.88132580210454e-05,0.000109824402982343,0.000138151229545943,48
"5235","GN-OM","GN","OM",0,0,0,0,0,0,0,0,3,30,0,0,0,0,0,0,0,0,0,1.72033145052613e-05,0.000183040671637238,0,33
"5236","GR-PH","GR","PH",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1.72033145052613e-05,0,0,3
"5237","GN-UZ","GN","UZ",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1.14688763368409e-05,0,0,2
"5238","GL-KR","GL","KR",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5.73443816842045e-06,0,7.67506830810794e-06,2
"5239","GL-SK","GL","SK",0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,1.14688763368409e-05,0,3.07002732324318e-05,6
"5240","GL-VN","GL","VN",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1.14688763368409e-05,0,0,2
"5241","GW-DE","GW","DE",0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,7.32162686548951e-05,0,12
"5242","GG-US","GG","US",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1.22027114424825e-05,0,2
"5243","GR-MU","GR","MU",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1.22027114424825e-05,0,2
"5244","GY-NP","GY","NP",0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0.000122027114424825,0,20
"5245","GG-IE","GG","IE",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2.4405422884965e-05,0,4
"5246","GL-LB","GL","LB",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1.22027114424825e-05,0,2
"5247","GL-LI","GL","LI",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1.22027114424825e-05,0,2
"5248","GU-DE","GU","DE",0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0.000138151229545943,18
"5249","GR-MC","GR","MC",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1.53501366162159e-05,2
"5250","GN-NE","GN","NE",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1.53501366162159e-05,2
"5251","GR-AZ","GR","AZ",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.67506830810794e-06,1
"5252","GL-KW","GL","KW",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1.53501366162159e-05,2
"5253","GL-QA","GL","QA",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.67506830810794e-06,1
"5254","IL-DE","IL","DE",20,24,10,12,16,18,20,8,26,12,6,0.000124092573059502,0.000157915515199368,6.29457344823028e-05,7.30914007966963e-05,9.98340259318882e-05,0.000110507413205636,0.000122462725407954,4.27503433386949e-05,0.000149095392378932,7.32162686548951e-05,4.60504098486476e-05,172
"5255","US-DE","US","DE",736,620,474,960,644,900,954,736,700,788,764,0.00456660668858969,0.00407948414265035,0.00298362781446115,0.0058473120637357,0.0040183195437585,0.00552537066028179,0.0058414720019594,0.00393303158715993,0.00401410671789431,0.00480786830833811,0.00586375218739447,8276
"5256","CH-DE","CH","DE",1568,1378,1678,1390,712,1096,882,1788,618,620,698,0.00972885772786499,0.00906698249769707,0.0105622942461304,0.00846642059228398,0.00444261415396903,0.0067286736040765,0.00540060619049077,0.00955470173619832,0.00354388278808384,0.00378284054716958,0.00535719767905934,12428
"5257","IS-DE","IS","DE",2,0,2,0,0,2,2,6,6,16,0,1.24092573059502e-05,0,1.25891468964606e-05,0,0,1.22786014672929e-05,1.22462725407954e-05,3.20627575040212e-05,3.44066290105227e-05,9.76216915398602e-05,0,36
